CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[1/822] 1,000,000,000,000,000,000-1,010,000,000,000,000,000 | 30.9s | found=0 total=0 | elapsed=31.0s ETA=424min 0.0%
[2/822] 1,010,000,000,000,000,000-1,020,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=46.0s ETA=314min 0.1%
[3/822] 1,020,000,000,000,000,000-1,030,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=62.0s ETA=282min 0.2%
[4/822] 1,030,000,000,000,000,000-1,040,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=77.0s ETA=262min 0.4%
[5/822] 1,040,000,000,000,000,000-1,050,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=92.0s ETA=251min 0.5%
[6/822] 1,050,000,000,000,000,000-1,060,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=108.0s ETA=245min 0.6%
[7/822] 1,060,000,000,000,000,000-1,070,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=123.0s ETA=239min 0.7%
[8/822] 1,070,000,000,000,000,000-1,080,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=138.0s ETA=234min 0.9%
[9/822] 1,080,000,000,000,000,000-1,090,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=154.0s ETA=232min 1.0%
[10/822] 1,090,000,000,000,000,000-1,100,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=169.0s ETA=229min 1.1%
[11/822] 1,100,000,000,000,000,000-1,110,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=185.0s ETA=227min -1.0%
[12/822] 1,110,000,000,000,000,000-1,120,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=200.0s ETA=225min -0.9%
[13/822] 1,120,000,000,000,000,000-1,130,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=215.0s ETA=223min -0.8%
[14/822] 1,130,000,000,000,000,000-1,140,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=231.0s ETA=222min -0.7%
[15/822] 1,140,000,000,000,000,000-1,150,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=246.0s ETA=221min -0.5%
[16/822] 1,150,000,000,000,000,000-1,160,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=262.0s ETA=220min -0.4%
[17/822] 1,160,000,000,000,000,000-1,170,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=277.0s ETA=219min -0.3%
[18/822] 1,170,000,000,000,000,000-1,180,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=293.0s ETA=218min -0.2%
[19/822] 1,180,000,000,000,000,000-1,190,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=309.0s ETA=218min -0.1%
[20/822] 1,190,000,000,000,000,000-1,200,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=325.0s ETA=217min 0.1%
[21/822] 1,200,000,000,000,000,000-1,210,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=340.0s ETA=216min 0.2%
[22/822] 1,210,000,000,000,000,000-1,220,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=355.0s ETA=215min 0.3%
[23/822] 1,220,000,000,000,000,000-1,230,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=371.0s ETA=215min 0.4%
[24/822] 1,230,000,000,000,000,000-1,240,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=386.0s ETA=214min 0.6%
