[2026-06-25T22:26:51.521] CC12+ scan started
[2026-06-25T22:26:51.521] range: 10 - 10^17
[2026-06-25T22:26:51.528] === CC15 scan [10, 100000000000000000] ===
[2026-06-25T22:29:38.421]   found 0 CC15 in 166.9s
[2026-06-25T22:29:38.421] === CC14 scan [10, 100000000000000000] ===
[2026-06-25T22:33:46.183]   found 1 CC14 in 247.8s
[2026-06-25T22:33:46.184]   CC14: 95405042230542329
[2026-06-25T22:33:46.184] === CC13 scan [10, 100000000000000000] ===
[2026-06-25T22:42:38.825]   found 8 CC13 in 532.6s
[2026-06-25T22:42:38.830]   CC13: 4090932431513069
[2026-06-25T22:42:38.830]   CC13: 18499683680302109
[2026-06-25T22:42:38.831]   CC13: 63758696531570039
[2026-06-25T22:42:38.831]   CC13: 76231500851104169
[2026-06-25T22:42:38.831]   CC13: 83455753965308009
[2026-06-25T22:42:38.831]   CC13: 87014234613155849
[2026-06-25T22:42:38.832]   CC13: 95405042230542329
[2026-06-25T22:42:38.832]   CC13: 97541252462952869
[2026-06-25T22:42:38.832] === CC12 scan [10, 100000000000000000] ===
[2026-06-25T22:59:08.801]   found 105 CC12 in 990.0s
[2026-06-25T22:59:08.801]   CC12: 554688278429
[2026-06-25T22:59:08.803]   CC12: 17287267757759
[2026-06-25T22:59:08.803]   CC12: 175469208383039
[2026-06-25T22:59:08.803]   CC12: 485385457835849
[2026-06-25T22:59:08.803]   CC12: 1747547786731889
[2026-06-25T22:59:08.803]   CC12: 1789807724819399
[2026-06-25T22:59:08.803]   CC12: 1873031015324039
[2026-06-25T22:59:08.803]   CC12: 2363480915049539
[2026-06-25T22:59:08.803]   CC12: 2594074500191459
[2026-06-25T22:59:08.803]   CC12: 3724344354467879
[2026-06-25T22:59:08.803]   CC12: 4090932431513069
[2026-06-25T22:59:08.805]   CC12: 4516330237376099
[2026-06-25T22:59:08.805]   CC12: 5898886486289939
[2026-06-25T22:59:08.805]   CC12: 6181576182411629
[2026-06-25T22:59:08.805]   CC12: 6254182980499739
[2026-06-25T22:59:08.805]   CC12: 7009895267433629
[2026-06-25T22:59:08.805]   CC12: 8181864863026139
[2026-06-25T22:59:08.805]   CC12: 8387632541432429
[2026-06-25T22:59:08.805]   CC12: 8526504341419349
[2026-06-25T22:59:08.805]   CC12: 9156861228329099
[2026-06-25T22:59:08.805]   CC12: 9465713069416889
[2026-06-25T22:59:08.805]   CC12: 9682457081501489
[2026-06-25T22:59:08.807]   CC12: 12136506510178049
[2026-06-25T22:59:08.807]   CC12: 13172710197276629
[2026-06-25T22:59:08.807]   CC12: 13657536214852529
[2026-06-25T22:59:08.807]   CC12: 15767876110833989
[2026-06-25T22:59:08.807]   CC12: 15895575891392339
[2026-06-25T22:59:08.807]   CC12: 15939593151051569
[2026-06-25T22:59:08.807]   CC12: 16218220599631049
[2026-06-25T22:59:08.807]   CC12: 16350156600204569
[2026-06-25T22:59:08.807]   CC12: 16452056193843269
[2026-06-25T22:59:08.807]   CC12: 18499683680302109
[2026-06-25T22:59:08.807]   CC12: 18773153340658859
[2026-06-25T22:59:08.809]   CC12: 19371595264241219
[2026-06-25T22:59:08.809]   CC12: 23464781735229119
[2026-06-25T22:59:08.809]   CC12: 24099714876537299
[2026-06-25T22:59:08.809]   CC12: 26069043223461809
[2026-06-25T22:59:08.809]   CC12: 26278700738857709
[2026-06-25T22:59:08.809]   CC12: 27211021957406429
[2026-06-25T22:59:08.809]   CC12: 27871290434361659
[2026-06-25T22:59:08.809]   CC12: 31236933429470339
[2026-06-25T22:59:08.811]   CC12: 32789341655408909
[2026-06-25T22:59:08.811]   CC12: 33201723229693589
[2026-06-25T22:59:08.811]   CC12: 36025982219026799
[2026-06-25T22:59:08.811]   CC12: 36134951500726649
[2026-06-25T22:59:08.811]   CC12: 36179289725997989
[2026-06-25T22:59:08.811]   CC12: 36583342232245379
[2026-06-25T22:59:08.811]   CC12: 36999367360604219
[2026-06-25T22:59:08.811]   CC12: 41093022774580919
[2026-06-25T22:59:08.811]   CC12: 41706789500955149
[2026-06-25T22:59:08.811]   CC12: 42171441371463689
[2026-06-25T22:59:08.811]   CC12: 44517745102360529
[2026-06-25T22:59:08.813]   CC12: 45154042037688869
[2026-06-25T22:59:08.813]   CC12: 46329763990700189
[2026-06-25T22:59:08.813]   CC12: 46714566013405289
[2026-06-25T22:59:08.813]   CC12: 47061202518728969
[2026-06-25T22:59:08.813]   CC12: 47338878975818429
[2026-06-25T22:59:08.813]   CC12: 48159264288165029
[2026-06-25T22:59:08.813]   CC12: 48389128837026119
[2026-06-25T22:59:08.813]   CC12: 50482471936130519
[2026-06-25T22:59:08.813]   CC12: 50592140739280139
[2026-06-25T22:59:08.813]   CC12: 51424018497101249
[2026-06-25T22:59:08.813]   CC12: 52603380302006819
[2026-06-25T22:59:08.815]   CC12: 53643531367684829
[2026-06-25T22:59:08.815]   CC12: 55967682638271689
[2026-06-25T22:59:08.815]   CC12: 56476921189967849
[2026-06-25T22:59:08.815]   CC12: 58114707956375069
[2026-06-25T22:59:08.815]   CC12: 60948077596014179
[2026-06-25T22:59:08.815]   CC12: 61870307511200759
[2026-06-25T22:59:08.815]   CC12: 62425604972247659
[2026-06-25T22:59:08.815]   CC12: 63758696531570039
[2026-06-25T22:59:08.815]   CC12: 64412159901387869
[2026-06-25T22:59:08.815]   CC12: 64788637989122189
[2026-06-25T22:59:08.815]   CC12: 65855653079244599
[2026-06-25T22:59:08.817]   CC12: 66015656521128599
[2026-06-25T22:59:08.817]   CC12: 66630142464269669
[2026-06-25T22:59:08.817]   CC12: 66840652768834229
[2026-06-25T22:59:08.817]   CC12: 67150499006254949
[2026-06-25T22:59:08.817]   CC12: 69101684061610199
[2026-06-25T22:59:08.817]   CC12: 74569660882353779
[2026-06-25T22:59:08.817]   CC12: 74656456263928109
[2026-06-25T22:59:08.817]   CC12: 75225697109032469
[2026-06-25T22:59:08.817]   CC12: 75764640814897319
[2026-06-25T22:59:08.817]   CC12: 76039507653037499
[2026-06-25T22:59:08.817]   CC12: 76070617205462879
[2026-06-25T22:59:08.819]   CC12: 76231500851104169
[2026-06-25T22:59:08.819]   CC12: 76927832150743859
[2026-06-25T22:59:08.819]   CC12: 78215732540834459
[2026-06-25T22:59:08.819]   CC12: 79543440215188949
[2026-06-25T22:59:08.819]   CC12: 81317287700267189
[2026-06-25T22:59:08.819]   CC12: 82244921086575389
[2026-06-25T22:59:08.819]   CC12: 83455753965308009
[2026-06-25T22:59:08.819]   CC12: 86304516106753229
[2026-06-25T22:59:08.819]   CC12: 87014234613155849
[2026-06-25T22:59:08.819]   CC12: 87718185558852419
[2026-06-25T22:59:08.819]   CC12: 90387290953734059
[2026-06-25T22:59:08.819]   CC12: 91752238087296929
[2026-06-25T22:59:08.821]   CC12: 91846771278542279
[2026-06-25T22:59:08.821]   CC12: 92211920118124949
[2026-06-25T22:59:08.821]   CC12: 94540936097545079
[2026-06-25T22:59:08.821]   CC12: 95405042230542329
[2026-06-25T22:59:08.822]   CC12: 97475642436726839
[2026-06-25T22:59:08.822]   CC12: 97541252462952869
[2026-06-25T22:59:08.822]   CC12: 98407346708419319
[2026-06-25T22:59:08.822]   CC12: 99805673147504609
[2026-06-25T22:59:08.850] ============================================================
[2026-06-25T22:59:08.852] DONE!
[2026-06-25T22:59:08.852]   CC12: 105
[2026-06-25T22:59:08.852]   CC13: 8
[2026-06-25T22:59:08.852]   CC14: 1
[2026-06-25T22:59:08.852]   CC15: 0
[2026-06-25T22:59:08.853] ============================================================
