[2026-06-25T13:57:36.795] CC15 search started
[2026-06-25T13:57:36.795] range: 10^18 - 9220000000000000000
[2026-06-25T13:57:36.799] batch size: 10000000000000000
[2026-06-25T13:57:36.799] threads: 2
[2026-06-25T13:58:07.783] [1/822] 1,000,000,000,000,000,000-1,010,000,000,000,000,000 | 30.9s | found=0 total=0 | elapsed=31.0s ETA=424min 0.0%
[2026-06-25T13:58:23.155] [2/822] 1,010,000,000,000,000,000-1,020,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=46.0s ETA=314min 0.1%
[2026-06-25T13:58:38.480] [3/822] 1,020,000,000,000,000,000-1,030,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=62.0s ETA=282min 0.2%
[2026-06-25T13:58:53.818] [4/822] 1,030,000,000,000,000,000-1,040,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=77.0s ETA=262min 0.4%
[2026-06-25T13:59:09.221] [5/822] 1,040,000,000,000,000,000-1,050,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=92.0s ETA=251min 0.5%
[2026-06-25T13:59:24.541] [6/822] 1,050,000,000,000,000,000-1,060,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=108.0s ETA=245min 0.6%
[2026-06-25T13:59:39.905] [7/822] 1,060,000,000,000,000,000-1,070,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=123.0s ETA=239min 0.7%
[2026-06-25T13:59:55.267] [8/822] 1,070,000,000,000,000,000-1,080,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=138.0s ETA=234min 0.9%
[2026-06-25T14:00:10.647] [9/822] 1,080,000,000,000,000,000-1,090,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=154.0s ETA=232min 1.0%
[2026-06-25T14:00:26.021] [10/822] 1,090,000,000,000,000,000-1,100,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=169.0s ETA=229min 1.1%
[2026-06-25T14:00:41.377] [11/822] 1,100,000,000,000,000,000-1,110,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=185.0s ETA=227min -1.0%
[2026-06-25T14:00:56.799] [12/822] 1,110,000,000,000,000,000-1,120,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=200.0s ETA=225min -0.9%
[2026-06-25T14:01:12.194] [13/822] 1,120,000,000,000,000,000-1,130,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=215.0s ETA=223min -0.8%
[2026-06-25T14:01:27.610] [14/822] 1,130,000,000,000,000,000-1,140,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=231.0s ETA=222min -0.7%
[2026-06-25T14:01:43.050] [15/822] 1,140,000,000,000,000,000-1,150,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=246.0s ETA=221min -0.5%
[2026-06-25T14:01:58.803] [16/822] 1,150,000,000,000,000,000-1,160,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=262.0s ETA=220min -0.4%
[2026-06-25T14:02:14.158] [17/822] 1,160,000,000,000,000,000-1,170,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=277.0s ETA=219min -0.3%
[2026-06-25T14:02:29.849] [18/822] 1,170,000,000,000,000,000-1,180,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=293.0s ETA=218min -0.2%
[2026-06-25T14:02:45.588] [19/822] 1,180,000,000,000,000,000-1,190,000,000,000,000,000 | 15.7s | found=0 total=0 | elapsed=309.0s ETA=218min -0.1%
[2026-06-25T14:03:01.378] [20/822] 1,190,000,000,000,000,000-1,200,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=325.0s ETA=217min 0.1%
[2026-06-25T14:03:16.866] [21/822] 1,200,000,000,000,000,000-1,210,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=340.0s ETA=216min 0.2%
[2026-06-25T14:03:32.204] [22/822] 1,210,000,000,000,000,000-1,220,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=355.0s ETA=215min 0.3%
[2026-06-25T14:03:47.728] [23/822] 1,220,000,000,000,000,000-1,230,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=371.0s ETA=215min 0.4%
[2026-06-25T14:04:03.277] [24/822] 1,230,000,000,000,000,000-1,240,000,000,000,000,000 | 15.5s | found=0 total=0 | elapsed=386.0s ETA=214min 0.6%
[2026-06-25T14:04:18.575] [25/822] 1,240,000,000,000,000,000-1,250,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=402.0s ETA=214min 0.7%
[2026-06-25T14:04:33.920] [26/822] 1,250,000,000,000,000,000-1,260,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=417.0s ETA=213min 0.8%
[2026-06-25T14:04:49.279] [27/822] 1,260,000,000,000,000,000-1,270,000,000,000,000,000 | 15.4s | found=0 total=0 | elapsed=432.0s ETA=212min 0.9%
[2026-06-25T14:05:04.581] [28/822] 1,270,000,000,000,000,000-1,280,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=448.0s ETA=212min 1.0%
[2026-06-25T14:05:19.845] [29/822] 1,280,000,000,000,000,000-1,290,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=463.0s ETA=211min -1.1%
[2026-06-25T14:05:35.139] [30/822] 1,290,000,000,000,000,000-1,300,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=478.0s ETA=210min -1.0%
[2026-06-25T14:05:50.410] [31/822] 1,300,000,000,000,000,000-1,310,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=494.0s ETA=210min -0.8%
[2026-06-25T14:06:05.706] [32/822] 1,310,000,000,000,000,000-1,320,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=509.0s ETA=209min -0.7%
[2026-06-25T14:06:21.036] [33/822] 1,320,000,000,000,000,000-1,330,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=524.0s ETA=209min -0.6%
